ตัวหนังโดยรวม เมื่อมาในโทนระทึกขวัญลึกลับแล้ว ผกก ทำได้มือถึงจริงๆ ตลอดทั้งเรื่องจะพาผู้ชมพบกับประสบการณ์ลุ้นละทึก ลุ้นว่าเหตุการณ์จะเกิดอะไรขึ้นต่อไป ไม่สามารถคาดเดาอะไรได้เลย,Hacksaw Ridge
หลังจากที่ดูจบ สำหรับผมต้องบอกว่ามันเป็น 1 ในหนังภาคต่อ (sequel) ที่ยอดเยี่ยมที่สุดเรื่องนึง เทียบกับพวก Judgement Day หรือ Riad 2 เลยก็ว่าได้ ซึ่งจะว่าไปตัวหนังเองก็คล้ายกับ Raid 2 ซึ่งคล้ายในทีนี้หมายความว่า สานต่อความสำเร็จจากภาคแรก ด้วยสเกลที่ใหญ่ขึ้นและน่าค้นหามากขึ้น ที่สำคัญคือทำได้ยอดเยี่ยมและน่าจดจำยิ่งกว่าภาคแรกเสียอีก,John wick 2
คิวบู๊ที่สมจริง และแสดงให้เห็นถึงความยอดเยี่ยมของทีมสตันท์เลยครับ ซึ่งก็ไม่น่าแปลกใจเท่าไหร่ เพราะจากที่ผมไปค้นคว้าหาข้อมูลมาก็พบว่า ตัวผู้กำกับเองแกเป็นสตันท์มาก่อน ทำให้งานคิวบู๊ต่างๆ ค่อนข้างดีงามมาก,John wick 2
คีอานู รีฟ ยิ่งเล่น ยิ่งเท่ ยิ่งเก๋า การฝึกซ้อมเพื่อเตรียมความพร้อมเพิ่มเติมในการมารับบทจอห์น วิค ของนักแสดงชายคนนี้ออกผลดีเป็นอย่างมาก เพราะมันช่วยเสริมความเท่ และความเป็นนักฆ่าที่เชี่ยวชาญด้านการต่อสู้ และการใช้อาวุธทุกชนิดออกมาได้เข้มแข็ง น่าเชื่อถือ และจับต้องได้มากขึ้น,John wick 2
สิ่งหนึ่งที่เป็นเสน่ห์ของหนังสัญชาติอิหร่าน ส่วนใหญ่คือการนำเสนอประเด็นการเมืองได้อย่างเข้มข้น ชาญฉลาด ผูกเส้นเรื่องได้อย่างน่าติดตาม และทิ้งคำถามจริยธรรมทางการเมืองไว้ให้คนดูได้คิดต่ออย่างท้าทาย,The Salemans
ซึ่งว่าด้วยสองสามีภรรยาที่กำลังเดินมาถึงจุดแยกทางท่ามกลางบริบทสังคมที่ซับซ้อนของอิหร่าน ที่ทำให้ทุกอย่างดูยากและยุ่งเหยิงไปเสียหมด จุดเด่นของหนังเรื่องนี้คือการร้อยเรื่องขมวดมิติทางสังคมของอิหร่านให้เราเห็นปัญหา ข้อถกเถียง คำถาม ได้อย่างแยบยล,The Salemans
แต่ท้ายที่สุดแล้ว เมื่อมองภาพรวมของหนังเองก็มีจุดที่น่าสงสัยในตรรกะหลายจุดเหมือนกัน โดยเฉพาะตัวละครที่มีคาแรคเตอร์จงใจใส่ไปเสียหน่อย,The Salemans
และแรงจูงใจของตัวละครที่แบกรับคำถามทั้งหมดไว้อย่าง Emad และ  Rana ซึ่งตรรกะของบทเองตอบคำถามให้ตัวละครทั้งสองได้อย่างดูไม่มีน้ำหนักมากนัก จึงเป็นจุดที่ค่อนข้างน่าเสียดายที่หนังไปไม่ถึงจุดที่ A Separation เคยทำไว้ และอาจทำให้คนที่คาดหวังกับหนังของ Asghar Farhadi ผิดหวังไม่น้อย,The Salemans
แม้ว่าชองของหนังจริงๆ มันจะเป็นดราม่า แต่ตลอดทั้งเรื่องหนังถูกสอดแทรกมาด้วยมุกตลกร้าย ที่เป็นความตลกในความขมขื่น ซึ่งจุดนี้เองก็ทำให้หนังไม่มีความน่าเบื่อ,Manchester by the sea
เพราะตัวหนังก็เล่าเรื่องไม่มาก พลอตไม่ได้ซับซ้อน แต่เน้นให้ผู้ชมคลุกคลีไปกับตัวละครของ ลี ที่ในตอนแรกสุดเราจะยังไม่เข้าใจว่า ทำไมเขาถึงดูอมทุกข์และไม่มีความสุข,Manchester by the sea
โดยในจุดนี้เองก็ต้องชื่นชม เคซี่ย์ แอฟเฟล็ก ที่ถ่ายทอดได้อย่างยอดเยี่ยมสมคำร่ำลือ และเต็งที่จะคว้านำชายในปีนี้ แต่ที่เซอร์ไพร์สมากกว่าสำหรับตัวผมคือ ตัวละครหลานชาย ลูคัส แชนด์เลอร์ ที่รับบทโดย ลูคัส เฮดเจส เล่นได้ยอดเยี่ยมไม่แพ้รุ่นใหญ่ในเรื่อง ,Manchester by the sea
จึงเป็นหนังที่ผมค่อนข้างชอบมากเรื่องนึง ในช่วงเดือนสองเดือนที่ผ่านมา อย่างที่ผมกล่าวไป นอกจากจะเต็มเปี่ยมไปด้วยนักแสดงคุณภาพ ผมยังชื่นชอบที่หนังเล่าอย่างเรียบง่าย แต่ทรงพลังถึงคนที่พยายามต่อสู้กับบางสิ่งที่ยากลำบากมากที่จะสู้,Manchester by the sea
นั่นคือความเจ็บปวดและความทุกข์จากอดีต และการสูญเสีย แม้มันจะเรียบแต่ก็เพลิดเพลิน จนตัวผมดำดิ่งไปกับความอึดอัดของตัวละคร จนท้ายที่สุดแทบจะหลุดร้องไห้ออกมา,Manchester by the sea
"แต่เราก็พบว่าเราคิดผิด หนังดำเนินเป็นเส้นตรงเป๊ะ และเราสามารถเดาบทสรุปสุดท้ายของเรื่องได้อย่างง่ายดายภายใน 20 นาที ตั้งแต่หนังเปิด ว่าใครจะเป็นคนร้าย, ใครจะตาย และหมอนี่จะโดนใครฆ่า",Resident Evil 6
ฉากบู๊ทำได้เท่ดี แต่การเล่าเรื่องลำดับมาเข้าฉากบู๊ไร้ศิลปะ บทจะชนะๆ ก็ชนะทื่อๆ จบก็จบทื่อๆ,Resident Evil 6
โดยรวมแล้วตัวหนังมีการเดินเครื่องเต็มสูบมาก ตัวละคร (ที่คิดว่าตายแล้วอย่าง ดร.ไอแซกส์) ก็กลับมาได้แบบสไตล์ของเรื่องนี้ ซึ่งก็ไม่ผิดคาดไปจากที่คิดเท่าไหน ,Resident Evil 6
"ในภาคนี้มีส่วนที่ชอบอยู่ไม่น้อย อาทิเช่น ฉากที่ดูอลังการขึ้น แอ็คชั่นมันส์จัดเต็มแบบนอนสต๊อปส่งท้าย และการเฉลยปมในภาคก่อนๆ บางเรื่องถึงขั้นอุทานในใจว่า ""แถกันแบบนี้เลยว่างั้น"" ซึ่งส่วนตัวก็คิดว่าไหนๆ มันออกทะเลมาไกลขนาดนี้แล้ว ก็เชียร์ให้บทของภาคนี้มันออกทะเลไปให้ไกลที่สุดเลยก็ดีไม่น้อย อย่างน้อยคือมันก็ไปสุดในทางของมันเอง ส่วนตัวชอบในส่วนนี้จริงๆ",Resident Evil 6
งานสามมิติของภาคนี้ เป็นอะไรที่ต้องติเลยก็ว่าได้ เพราะภาคที่ 4-5 ของซีรีย์ชุดนี้ทำภาพสามมิติไว้ได้เทพมากจริงๆ ไม่ว่าจะเป็นพุ่งทะลุ ความตื้นลึกของภาพ แยกเป็นเลเยอร์ชัดเจน กลับกันในภาคนี้ งานด้านภาพสามมิติไม่มีความพุ่งอะไรเลย,Resident Evil 6
จุดด้อยอีกอย่างของภาคนี้คือ มุมกล้อง การจัดฉากแอ็คชั่น มีความห้วน ตัดสลับไปมา และใช้มุมกล้อง แฮนเฮล ที่เอาเป็นว่าฉากต่อสู้ทีไร ทำให้คนดูมึนในมุมกล้องทุกที,Resident Evil 6
สรุปแล้ว ตัวหนังในภาคนี้ ถึงแม้ว่ามันจะไม่เพอร์เฟคแบบที่หลายคนรอคอย แต่ในความเห็นส่วนตัว มันเป็นภาคที่มีความมันส์ ความสนุก กับสิ่งที่บทมันเขียนให้ออกทะเลไปเรื่อยๆ ไปได้สุดจริงๆ,Resident Evil 6
แต่สิ่งที่ทำให้ยอมเข้ามาดูหนังเรื่องนี้เลย ก็คือ ความอยากรู้อยากเห็นในพล็อตเรื่องรักของ โลกคู่ขนานที่สวนทางกันนี้ ซึ่งมีแววว่าจะไม่สมหวัง (คือเราโรคจิตหน่อยๆ ที่ชอบหนังแนวชวนอึดอัด) ซึ่งมันก็สมใจอยากจริงๆ นั่นแหละ,Tommorrow I will date with yesterday's you
โดยรวมๆ แล้ว คำแนะนำสำหรับการชม Tomorrow I will date with yesterday's you คือเราต้องอินกับเรื่องราวของหนังระดับหนึ่ง หรืออย่างน้อยๆ ก็ความน่ารักของ นานะ โคมัตสึ ไม่งั้นอาจจะหลับไปกับการดำเนินเนื้อเรื่องในแบบหนังญี่ปุ่น,Tommorrow I will date with yesterday's you
ถ้าใครไม่คุ้นชินกับทางนี้ ลำดับการเล่าเรื่องของหนังค่อนข้างจะโอเค เข้าใจได้ง่าย ถ้าเน้นดูติดตามเพลินๆ ก็โอเค แต่ถ้าเป็นคนขี้สงสัยหน่อยอาจจะสะดุดกับตรรกะหลายๆ อย่างในหนังมากมายเต็มไปหมด เพราะพล็อตเรื่องมันเป็นเรื่องเหนือธรรมชาติ,Tommorrow I will date with yesterday's you
แค่เพียงฉากเปิดเรื่อง La La Land ก็แสดงให้เห็นถึงความยอดเยี่ยม ด้วยซีนที่น่าจะเป็นอีก 1 ซีนจดจำของภาพยนตร์เรื่องนี้ และตลอดทั้งเรื่องเราจะได้เห็นความสวยงามของซีนต่างๆ ที่ถูกประดิษฐ์ประดอยออกมาอย่างดีงาม,La La Land
แน่นอนว่าเรื่องเสียงไม่ต้องพูดถึง La La Land มีทั้ง score และ ost. ที่ดีงามติดหู โดยเฉพาะ City of Stars หลากหลายเวอร์ชั่นหลากหลายอารมณ์ แต่ก็เพราะดีงามทั้งหมด,La La Land
แต่ที่ต้องชมจริงๆ นั่นคือ เคมีพระนางของเรื่องอย่าง ไรอัน กอสลิ่ง และ เอมม่า สโตน ซึ่งถูกหนังส่ง เพลงส่ง ภาพส่งให้เสน่ห์ของทั้งคู่ถูกใช้ เสียงของเอมม่า การเล่นเปียโนของไรอัน ดีงามจนผมเองไม่รู้จะติอะไร,La La Land
ด้วยปัจจัยที่กล่าวไปข้างต้นและการพูดถึงยุคสมัย แม้ว่าผมจะไม่ใช่คนที่ฟังแจ๊สอะไรนัก แต่บริบทของคนในคนนอก ยุคใหม่ ยุคเก่า การแหวกขนบที่มีมายาวนานเพื่อหาทางออกให้กับทางตันของสิ่งใดๆ ไม่ว่าจะเป็นดนตรี หรือศิลปะ ถูกหยิบยกมาพูดได้อย่างน่าสนใจมากๆ,La La Land
กล่าวโดยรวมแม้ไม่จำเป็นอีกครั้งว่า อยากลองแนะนำให้ทุกท่านที่ผ่านเข้ามาอ่าน ลองไปสัมผัสความดีงามของศาสตร์ภาพยนตร์ต่างๆ ที่ปรากฏในภาพยนตร์เรื่องนี้ La La Land,La La Land
อย่าเพิ่งรีบด่วนตัดสินว่าเป็น musical แล้วจะเข้าถึงยาก หนังเรื่องนี้ไม่ยากอย่างที่คิด มีการทริบิวท์หนังเพลงเรื่องเก่าๆ ก็จริง แต่ก็มีความร่วมสมัยเช่นกัน ใครที่ยังไม่ได้ชมอยากให้ลองดูครับ,La La Land
หลังจากที่ผมดูจบ สามารถแบ่งหนังได้เป็น 2 ส่วนเลยคือ ส่วนตอนเป็นเด็ก และ ตอนที่โตแล้ว ซึ่งส่วนที่ผมชอบมากคือส่วนที่เป็นเด็ก ตัว ซารู หรือพระเอกตอนเด็กนั้นเล่นดีมากกกก น่าสงสาร และน่าเอาใจช่วย รวมไปถึงการถ่ายทอดอารมณ์และสิ่งต่างๆ ในพาร์ทนี้ดีมาก,
แต่มาขัดใจตอนพาร์ทตอนโต ซึ่งดูเหมือนไม่เน้น ทั้งๆ ที่ควรจะเน้นมาก เพราะมันเป็นส่วนสำคัญ และการไม่เน้นนี้เอง ก็ทำให้หนังไม่ส่งให้ เดฟ พาเทล ดูโดดเด่นหรือน่าจับตามองในเรื่องของการแสดงเท่าที่ควร ซึ่งถือว่าน่าเสียดายมาก ,Lion..จนกว่าจะพบกัน
ในส่วนของนักแสดงคนอื่นๆ อาทิ นิโคล คิดแมน ก็ถือว่าโอเคตามมาตรฐาน แต่ด้วยพาร์ทตอนโตที่ดูง่ายและไม่ได้ถูกให้น้ำหนัก,Lion..จนกว่าจะพบกัน
ทำให้ช่วงกลางไปจนถึงท้ายเรื่องค่อนข้างน่าเบื่อ และดูเหมือนคลี่คลายอย่างลวกๆ จนทำให้หนังเรื่องนี้ดูจะไม่พีคเท่าที่ควร,Lion..จนกว่าจะพบกัน
หากให้กล่าวโดยสรุป Lion คือภาพยนตร์ที่คลับคล้ายว่าจะเป็นโฆษณากูเกิ้ลเอิร์ทความยาวร่วมสองชั่วโมง ที่น่าผิดหวัง เพราะในช่วงท้ายนั้นน่าเบื่อมาก และทำให้ความดีงามบางส่วนในหนังถูกกลบไป,Lion..จนกว่าจะพบกัน
แม้ว่าหนังจะพยายามให้เราอยู่กับซารูตอนโตมากแค่ไหน แต่ก็ไม่น่าสนใจเท่าตอนเด็กจริงๆ ภาพรวมถือว่าน่าเสียดายมากๆ ครับ ,Lion..จนกว่าจะพบกัน
หลังจากดูจบ ต้องขอบอกเลยว่า โดยตัวอย่างหนังหลอกพล๊อตไว้ค่อนข้างเยอะเลยทีเดียว หน้าหนังจากตัวอย่างออกแนวแอ็คชั่น Si-Fi ผจญภัย แต่หลังจากได้ดูแล้ว ตัวหนังโดยรวมจะเน้นไปทางโรแมนติก-ดราม่าซะมากกว่า,Passenger
งคริต แพรทท์ ก็เล่นเป็นตัวเองเช่นเคย มีความหล่อ เจ้าเล่ห์ และตลก ตามสไตล์ที่เค้าเคยเล่นมา ส่วนเจนนิเฟอร์ ลอว์เลนซ์ ก็มีความเล่นใหญ่รัชดาลัยเธียเตอร์มากมาย,Passenger
ถึงแม้ว่ามันจะมีความไม่เข้ากันอยู่ระหว่างสองตัวละคร แต่แปลกที่ผมกลับชอบความเกินๆ ของคู่นี้ เคมีดูเข้ากันแบบแปลกๆ 5555,Passenger
สิ่งที่เป็นจุดด้อยของหนังก็คือ บทภาพยนตร์ล้วนๆ ที่ถึงแม้ว่ามันจะเดาทางไม่ค่อยออก แต่พอตัวละครนำพาผู้ชมไปถึงจุดสิ้นสุด มันก็ต้องพบกับความน้ำเน่าละครไทยเป็นอย่างมาก,Passenger
ที่ผมบอกว่าน่าจะชอบเพราะในด้านลายสร้าง ฉากเอย CG เอย เป็นจุดเด่นและจุดแข็งของเรื่องเลยจริงๆ หลายๆ เสียงหลังจากที่ได้ชมมา ต่างบอกเป็นเสียงเดียวกันว่าเรื่องนี้ CG กับฉากต่างๆ คือเด็ดจริงอะไรจริง,Passenger
สรุปแล้ว ถึงแม้ว่ามันจะมีความดราม่าน้ำเน่าละครไทย แต่โดยรวมส่วนตัวผมชอบพอสมควร สอบผ่านในด้านความบันเทิง ถ้าจะถามว่ามันดีมั้ย ผมบอกได้ว่ามันสนุกดี ดูได้เพลินๆ แต่ไม่ใช่หนังที่สมบูรณ์แบบ จนต้องหามาดูซ้ำอีกหลายๆ รอบครับ,Passenger
